epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1527.4,0.78333,0.4169,0.99175,0.99038,0.97141,0.98566,0.72597,1.07336,0.43428,1.11407,0.0091882,0.0091882,0.0091882
43,1563.88,0.78095,0.41015,0.99341,0.99263,0.96855,0.98937,0.71546,1.12144,0.43863,1.15475,0.0091684,0.0091684,0.0091684
44,1601.27,0.78185,0.41687,1.001,0.99357,0.97162,0.9891,0.73421,1.10486,0.43553,1.1401,0.0091486,0.0091486,0.0091486
45,1637.85,0.77911,0.41159,0.99597,0.98356,0.97799,0.98673,0.73072,1.06327,0.41984,1.1235,0.0091288,0.0091288,0.0091288
46,1674.86,0.77165,0.40662,0.99637,0.99017,0.96855,0.98491,0.72093,1.07661,0.41765,1.11804,0.009109,0.009109,0.009109
47,1711.55,0.77346,0.40973,0.99559,0.98014,0.97799,0.99099,0.73152,1.07385,0.42312,1.13165,0.0090892,0.0090892,0.0090892
48,1748.32,0.77803,0.41011,1.00025,0.99354,0.968,0.98984,0.72448,1.11504,0.42791,1.14263,0.0090694,0.0090694,0.0090694
49,1785.36,0.76763,0.4025,0.99242,0.98414,0.97538,0.99018,0.73715,1.06573,0.41927,1.11503,0.0090496,0.0090496,0.0090496
50,1822.27,0.77179,0.40931,0.99568,0.99354,0.96744,0.98827,0.70639,1.10731,0.42186,1.13592,0.0090298,0.0090298,0.0090298
51,1859.22,0.7583,0.39846,0.99378,0.98955,0.96855,0.99027,0.73257,1.07241,0.41345,1.11825,0.00901,0.00901,0.00901
52,1896.09,0.7626,0.39971,0.9882,0.99357,0.97119,0.98967,0.73398,1.08931,0.41505,1.13266,0.0089902,0.0089902,0.0089902
53,1932.92,0.75034,0.39603,0.98786,0.97289,0.97484,0.98753,0.72828,1.06531,0.43444,1.12989,0.0089704,0.0089704,0.0089704
54,1969.4,0.75431,0.39969,0.99126,0.98713,0.96512,0.98958,0.73067,1.07786,0.42498,1.12983,0.0089506,0.0089506,0.0089506
55,2006.13,0.761,0.3922,0.98936,0.98422,0.98096,0.98768,0.72475,1.11074,0.43508,1.16429,0.0089308,0.0089308,0.0089308
56,2043.41,0.76304,0.40071,0.99202,0.97487,0.97604,0.98935,0.73844,1.06442,0.43039,1.12964,0.008911,0.008911,0.008911
57,2080.44,0.75306,0.3917,0.99465,0.99357,0.97116,0.98838,0.73147,1.08952,0.42387,1.12894,0.0088912,0.0088912,0.0088912
58,2116.92,0.75356,0.40221,0.99003,0.97795,0.97621,0.99008,0.7375,1.09164,0.42813,1.12634,0.0088714,0.0088714,0.0088714
59,2153.84,0.73907,0.39006,0.97475,0.99016,0.97484,0.99158,0.72145,1.09138,0.41252,1.13774,0.0088516,0.0088516,0.0088516
60,2190.84,0.74643,0.39595,0.98699,0.99352,0.96443,0.99134,0.73413,1.07097,0.42041,1.13523,0.0088318,0.0088318,0.0088318
61,2227.85,0.75264,0.39391,0.98024,0.99032,0.9651,0.98831,0.72912,1.09746,0.41137,1.13386,0.008812,0.008812,0.008812
62,2264.56,0.74537,0.39017,0.98669,0.9841,0.97314,0.99148,0.74265,1.07747,0.40761,1.13175,0.0087922,0.0087922,0.0087922
63,2301.94,0.73606,0.38065,0.9779,0.99355,0.96833,0.99026,0.73251,1.09709,0.40512,1.13424,0.0087724,0.0087724,0.0087724
64,2349.76,0.74307,0.39052,0.98815,0.99356,0.97051,0.99223,0.72997,1.0748,0.40047,1.11942,0.0087526,0.0087526,0.0087526
65,2388.19,0.72749,0.38488,0.97924,0.99318,0.97484,0.99132,0.73733,1.09992,0.39497,1.14282,0.0087328,0.0087328,0.0087328
66,2423.22,0.72939,0.37847,0.97987,0.98241,0.9717,0.99028,0.74291,1.07611,0.40643,1.12444,0.008713,0.008713,0.008713
67,2458.48,0.7123,0.37278,0.9699,0.98409,0.97228,0.98906,0.73436,1.09094,0.4104,1.1333,0.0086932,0.0086932,0.0086932
68,2494.31,0.738,0.38229,0.97878,0.98414,0.97582,0.99257,0.729,1.10977,0.40834,1.13043,0.0086734,0.0086734,0.0086734
